name,category,lat,lon,country_code,rarity,floor_price_tdi,mint_difficulty,is_shiny,card_number,edition,token_id,tdc_per_24h,bonus_pct,game_resource,visitors_per_year,geopolitical_score,description,fun_fact,wiki_url,is_featured,source
Cano Cristales Colombia,nature_sanctuary,2.27,-73.78,CO,uncommon,5.0,2,0,669,genesis,100669,25,40,culture,1200000,25,"Liquid Rainbow river. Red, blue, green, yellow algae. Only 3 months/yr.",Called the most beautiful river in the world,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Cano_Cristales.jpg/640px-Cano_Cristales.jpg,1,seed
Carnival Rio de Janeiro,sports_arena,-22.912,-43.172,BR,uncommon,5.0,2,0,426,genesis,100426,25,45,culture,300000,25,World's largest carnival. 6-day festival. Sambadrome. 7M people/day.,,,1,seed
Chengdu Panda Base,nature_sanctuary,30.738,104.151,CN,uncommon,5.0,2,0,842,genesis,100842,25,40,culture,1200000,25,China Giant Panda Breeding Base. Only place to see giant pandas.,Giant pandas eat 12-38 kg of bamboo per day — 16 hours,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Giant_Panda_at_Sichuan_Panda_Reserve.jpg/640px-Giant_Panda_at_Sichuan_Panda_Reserve.jpg,1,seed
Delphi Oracle Site,ancient_ruins,38.482,22.501,GR,uncommon,5.0,2,0,879,genesis,100879,25,45,culture,2250000,25,UNESCO. Pythia oracle. Naval of Earth. Treasury of Athens.,Leaders of Mediterranean consulted oracle before major decisions — including wars,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Delphi_panoramic_view.jpg/640px-Delphi_panoramic_view.jpg,1,seed
Djemaa el-Fna Marrakech,ancient_ruins,31.626,-7.989,MA,uncommon,5.0,2,0,247,genesis,100247,25,45,culture,2250000,25,"UNESCO Oral Heritage. Snake charmers, storytellers, street food. Alive at night.",Only UNESCO-listed open-air square,,1,seed
Dunhuang Silk Road,ancient_ruins,40.036,94.808,CN,uncommon,5.0,2,0,849,genesis,100849,25,45,culture,2250000,25,UNESCO Mogao Caves. 492 caves. Silk Road art 4th-14th century.,"50,000 ancient manuscripts found walled up in one cave in 1900",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Mogao_Caves.jpg/640px-Mogao_Caves.jpg,1,seed
Easter Island,ancient_ruins,-27.113,-109.349,CL,uncommon,5.0,2,0,419,genesis,100419,25,45,culture,2250000,25,"887 moai statues. 5,000km from nearest continent. Civilization collapsed.",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Easter_Island_Moai.jpg/640px-Easter_Island_Moai.jpg,1,seed
Easter Island Rano Raraku,ancient_ruins,-27.122,-109.291,CL,uncommon,5.0,2,0,921,genesis,100921,25,45,culture,2250000,25,Quarry of 397 moai in hillside. Civilization ended while still carving.,Statues abandoned mid-carve — civilization collapsed suddenly,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Easter_Island_Moai.jpg/640px-Easter_Island_Moai.jpg,1,seed
Ellora Caves,ancient_ruins,20.027,75.179,IN,uncommon,5.0,2,0,785,genesis,100785,25,45,culture,2250000,25,"UNESCO. 34 caves across 3 religions — Hindu, Buddhist, Jain. 600-1000 AD.",Largest rock-cut monastery complex in world,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ellora_cave.jpg/640px-Ellora_cave.jpg,1,seed
Fiordland New Zealand,nature_sanctuary,-45.414,167.716,NZ,uncommon,5.0,2,0,448,genesis,100448,25,40,culture,1200000,25,UNESCO. Milford Sound. Lord of the Rings filming. 700m rainfall/yr.,,,1,seed
Galapagos Islands,nature_sanctuary,-0.67,-90.55,EC,uncommon,5.0,2,0,415,genesis,100415,25,40,culture,1200000,25,Darwin's lab. 19 islands. Unique species. UNESCO. 97% national park.,,,1,seed
Gobekli Tepe,ancient_ruins,37.223,38.922,TR,uncommon,5.0,2,0,291,genesis,100291,25,45,culture,2250000,25,"World's oldest temple. 11,600 years old. Rewrote human history.","Predates Stonehenge by 7,000 years. Built before agriculture",,1,seed
Googleplex Mountain View,tech_giant,37.422,-122.084,US,uncommon,5.0,2,0,224,genesis,100224,25,170,intel,300000,25,"Google/Alphabet HQ. 140,000 employees globally. Self-driving cars.",,,1,seed
Great Barrier Reef Coral Sea,coral_reef,-18.29,147.7,AU,uncommon,5.0,2,0,651,genesis,100651,25,45,food,300000,25,"2,300km. Largest living organism. UNESCO. 50% bleached by 2024.",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Great_Barrier_Reef.jpg/640px-Great_Barrier_Reef.jpg,1,seed
Guilin Yangshuo Karst,nature_sanctuary,24.778,110.494,CN,uncommon,5.0,2,0,838,genesis,100838,25,40,culture,1200000,25,Karst mountains reflected in Li River. 20 RMB banknote.,"Locals say ""Guilin scenery is the best under heaven""",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Guilin_Riverside.jpg/640px-Guilin_Riverside.jpg,1,seed
Göbekli Tepe Enclosures,ancient_ruins,37.223,38.922,TR,uncommon,5.0,2,0,726,genesis,100726,25,45,culture,2250000,25,"T-shaped pillars. 11,600 BC. Older than all known civilizations.",Rewrote history — complex society before agriculture,,1,seed
Hagia Sophia Istanbul,religious_site,41.008,28.98,TR,uncommon,5.0,2,0,284,genesis,100284,25,40,culture,4500000,25,"1,500 years old. Mosque→Church→Museum→Mosque. Byzantine masterpiece.","Largest cathedral for 1,000 years. Reconverted to mosque in 2020",,1,seed
Hawaii Volcanoes Park,volcano,19.419,-155.287,US,uncommon,5.0,2,0,925,genesis,100925,25,40,energy,450000,25,UNESCO. Kilauea active lava. New land forming. Pele goddess homeland.,Hawaii is growing — lava adds new land every year — youngest US state,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Kilauea_lava.jpg/640px-Kilauea_lava.jpg,1,seed
Jerusalem Temple Mount,religious_site,31.778,35.235,IL,uncommon,5.0,2,0,214,genesis,100214,25,40,culture,4500000,25,Holy to 3 religions. Most contested land on Earth. Al-Aqsa + Western Wall.,,,1,seed
Lake Toba Volcano,volcano,2.6,98.83,ID,uncommon,5.0,2,0,825,genesis,100825,25,40,energy,450000,25,"Supervolcano caldera. World largest. 74,000 years ago eruption nearly ended humanity.","Toba eruption reduced human population to perhaps 10,000 individuals",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Lake_Toba.jpg/640px-Lake_Toba.jpg,1,seed
Lalibela Rock Churches,religious_site,12.032,39.044,ET,uncommon,5.0,2,0,255,genesis,100255,25,40,culture,4500000,25,11 monolithic churches carved from rock in 12th century. Christian pilgrimage.,Legend: angels helped build them overnight,,1,seed
Li River Guilin,nature_sanctuary,25.274,110.29,CN,uncommon,5.0,2,0,361,genesis,100361,25,40,culture,1200000,25,Karst mountains. 20 yuan banknote scene. Most beautiful river in China.,,,1,seed
Lofoten Islands,nature_sanctuary,68.154,13.987,NO,uncommon,5.0,2,0,895,genesis,100895,25,40,culture,1200000,25,Arctic archipelago. Midnight sun. Northern Lights. Iconic red cabins.,Fishing village where million year old mountains meet Arctic sea,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Lofoten_Norway.jpg/640px-Lofoten_Norway.jpg,1,seed
Louvre Museum Paris,museum,48.86,2.337,FR,uncommon,5.0,2,0,221,genesis,100221,25,30,culture,3750000,25,"35,000 objects. 9M visitors/yr. Mona Lisa. Most visited museum.",,,1,seed
Maasai Mara National Reserve,nature_sanctuary,-1.507,35.145,KE,uncommon,5.0,2,0,260,genesis,100260,25,40,culture,1200000,25,Great Migration — 1.5M wildebeest. Big Five. Continuous migration with Serengeti.,,,1,seed
Maluku Raja Ampat,coral_reef,-0.234,130.52,ID,uncommon,5.0,2,0,828,genesis,100828,25,45,food,300000,25,"1,500 fish species. Most biodiverse marine area on Earth.",Isolated geography means species found nowhere else evolved here,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Raja_Ampat.jpg/640px-Raja_Ampat.jpg,1,seed
Mecca Masjid al-Haram,religious_site,21.423,39.826,SA,uncommon,5.0,2,0,213,genesis,100213,25,40,culture,4500000,25,Holiest Islamic site. 2M+ pilgrims/yr. Kaaba.,Non-Muslims banned from entering the city,,1,seed
Mohenjo-daro,ancient_ruins,27.329,68.138,PK,uncommon,5.0,2,0,797,genesis,100797,25,45,culture,2250000,25,UNESCO. 2500 BC. One of first cities. Grid streets. Advanced plumbing.,Had underground drainage in 2500 BC — Europe didn't until 19th century,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Mohenjo-daro.jpg/640px-Mohenjo-daro.jpg,1,seed
Monasteries of Meteora,religious_site,39.72,21.631,GR,uncommon,5.0,2,0,883,genesis,100883,25,40,culture,4500000,25,UNESCO. 6 monasteries on rock pillars. Rope ladders until 1920s.,Monks raised themselves in nets — only other access was rope ladder until 1920s,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Meteora_Greece.jpg/640px-Meteora_Greece.jpg,1,seed
Mont Saint-Michel,religious_site,48.636,-1.511,FR,uncommon,5.0,2,0,682,genesis,100682,25,40,culture,4500000,25,UNESCO. Abbey on tidal island. 3M visitors/yr. High tide cuts it off.,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Mont_Saint_Michel.jpg/640px-Mont_Saint_Michel.jpg,1,seed
Mount Fuji,volcano,35.362,138.731,JP,uncommon,5.0,2,0,179,genesis,100179,25,40,energy,450000,25,"3,776m. Japan's sacred symbol. Last erupted 1707.",,,1,seed
NYSE New York Stock Exchange,stock_exchange,40.707,-74.011,US,uncommon,5.0,2,0,16,genesis,100016,25,85,credits,300000,70,World's largest. $25T market cap. 11 Wall Street.,Opening bell rung by celebrities & heads of state,,1,seed
Ngorongoro Crater,nature_sanctuary,-3.22,35.5,TZ,uncommon,5.0,2,0,265,genesis,100265,25,40,culture,1200000,25,"World's largest intact volcanic caldera. 30,000 animals in 260km².",Animals can't escape — the crater is their world,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Ngorongoro_Crater.jpg/640px-Ngorongoro_Crater.jpg,1,seed
Nyiragongo Volcano,volcano,-1.52,29.25,CD,uncommon,5.0,2,0,705,genesis,100705,25,40,energy,450000,25,Active lava lake. 1977 eruption killed 2000 — 100 mph lava flow.,World fastest moving lava in history,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Nyiragongo.jpg/640px-Nyiragongo.jpg,1,seed
Old City of Jerusalem,religious_site,31.778,35.235,IL,uncommon,5.0,2,0,302,genesis,100302,25,40,culture,4500000,25,"4 quarters: Jewish, Muslim, Christian, Armenian. Western Wall, Al-Aqsa, Church of Holy Sepulchre.",,,1,seed
Pantanal Brazil,nature_sanctuary,-17.0,-57.0,BR,uncommon,5.0,2,0,920,genesis,100920,25,40,culture,1200000,25,"UNESCO. Largest tropical wetland 150,000 km². Jaguars.",Best place to see jaguar in wild — walk up to them in flat terrain,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Pantanal_jaguar.jpg/640px-Pantanal_jaguar.jpg,1,seed
Persepolis,ancient_ruins,29.935,52.891,IR,uncommon,5.0,2,0,308,genesis,100308,25,45,culture,2250000,25,Achaemenid Persian capital. Alexander burned it 330 BC. Reliefs of 28 nations.,,,1,seed
Phong Nha Cave,cave_system,17.559,106.283,VN,uncommon,5.0,2,0,818,genesis,100818,25,25,materials,300000,25,"Son Doong — world largest cave. 200m high, 150m wide, 9km explored.","Underground jungle, river, and clouds inside cave",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Son_Doong_cave.jpg/640px-Son_Doong_cave.jpg,1,seed
Pompeii Ruins,ancient_ruins,40.751,14.49,IT,uncommon,5.0,2,0,183,genesis,100183,25,45,culture,2250000,25,Destroyed by Vesuvius 79 AD. City preserved in ash. 3M visitors/yr.,,,1,seed
Port of Shanghai,mega_port,31.24,121.5,CN,uncommon,5.0,2,0,208,genesis,100208,25,60,credits,300000,60,World's busiest port. 47M TEU/yr.,,,1,seed
Port of Singapore,mega_port,1.27,103.83,SG,uncommon,5.0,2,0,209,genesis,100209,25,60,credits,300000,60,37M TEU/yr. World's most efficient. 600+ shipping lines.,,,1,seed
Santorini Caldera,volcano,36.393,25.461,GR,uncommon,5.0,2,0,400,genesis,100400,25,40,energy,450000,25,Volcanic caldera island. White-blue houses. Sunset views. 3M visitors/yr.,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Santorini_-_Oia.jpg/640px-Santorini_-_Oia.jpg,1,seed
Serengeti National Park,nature_sanctuary,-2.333,34.833,TZ,uncommon,5.0,2,0,264,genesis,100264,25,40,culture,1200000,25,"UNESCO. 1.5M wildebeest migration. 5,000 lions. Endless plains.","Name means ""endless plains"" in Maasai",,1,seed
Sigiriya Lion Rock,ancient_ruins,7.957,80.76,LK,uncommon,5.0,2,0,325,genesis,100325,25,45,culture,2250000,25,5th century royal citadel on rock column. Frescoes 200m up. UNESCO.,400 graffiti messages left by visitors in 7th century,,1,seed
Sigiriya Rock Fortress,ancient_ruins,7.957,80.76,LK,uncommon,5.0,2,0,461,genesis,100461,25,45,culture,2250000,25,"5th century palace atop 200m rock. Frescoes, mirror wall, lion gate.",,,1,seed
Table Mountain Cape Town,mountain_peak,-33.962,18.403,ZA,uncommon,5.0,2,0,272,genesis,100272,25,20,culture,150000,25,"Flat-topped. 1,086m. Cableway. One of New 7 Wonders of Nature.",,,1,seed
Terracotta Army Xi'an,ancient_ruins,34.385,109.273,CN,uncommon,5.0,2,0,366,genesis,100366,25,45,culture,2250000,25,"8,000 life-size soldiers for Qin Shi Huang. Discovered 1974 by farmers.",Each face is unique — modeled on real soldiers,,1,seed
Tiger's Nest Monastery,religious_site,27.491,89.363,BT,uncommon,5.0,2,0,323,genesis,100323,25,40,culture,4500000,25,Paro Taktsang. 900m cliff. Guru Rinpoche meditated here 8th century.,Most visited site in a country that limits tourism,,1,seed
Times Square New York,financial_hub,40.758,-73.986,US,uncommon,5.0,2,0,379,genesis,100379,25,90,credits,7500000,75,50M visitors/yr. Most visited tourist site in world. 47 Broadway theaters.,,,1,seed
Valley of the Kings Luxor,ancient_ruins,25.746,32.601,EG,uncommon,5.0,2,0,242,genesis,100242,25,45,culture,2250000,25,Tombs of 63 pharaohs incl. Tutankhamun. New Kingdom burial site.,KV62 (Tutankhamun) found sealed with treasures in 1922,,1,seed
Varanasi Ghats,religious_site,25.317,83.013,IN,uncommon,5.0,2,0,313,genesis,100313,25,40,culture,4500000,25,Oldest living city. 84 ghats. Cremation on Ganges banks.,,,1,seed
Vatican City,religious_site,41.903,12.454,VA,uncommon,5.0,2,0,212,genesis,100212,25,40,culture,4500000,25,World's smallest country. 800 citizens. $8B+ assets. Sistine Chapel.,,,1,seed
Versailles Palace,royal_palace,48.805,2.12,FR,uncommon,5.0,2,0,218,genesis,100218,25,70,culture,300000,25,Sun King's palace. 700 rooms. Hall of Mirrors. 6M visitors/yr.,,,1,seed
Volcanoes National Park Gorillas,nature_sanctuary,-1.47,29.54,RW,uncommon,5.0,2,0,268,genesis,100268,25,40,culture,1200000,25,Half of world's mountain gorillas. Dian Fossey studied and died here.,"Gorilla trekking permit costs $1,500",,1,seed
Yellowstone Supervolcano,volcano,44.6,-110.5,US,uncommon,5.0,2,0,180,genesis,100180,25,40,energy,450000,25,"Supervolcano. 640,000 yr eruption cycle. Overdue?.",Eruption would cover North America in ash,,1,seed
AT&T Stadium Arlington,sports_arena,32.748,-97.093,US,uncommon,5.0,2,0,78,genesis,100078,25,45,culture,200000,25,"Dallas Cowboys. 100,000+ capacity. Largest domed stadium.",,,0,seed
African Union HQ Addis Ababa,international_org,9.005,38.763,ET,uncommon,5.0,2,0,477,genesis,100477,25,80,intel,200000,25,"55 member states. Africa's UN. Peacekeeping, trade, development.",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/African_Union_Commission_building.jpg/640px-African_Union_Commission_building.jpg,0,seed
Agadir Anti-Atlas,mountain_peak,29.4,-8.5,MA,uncommon,5.0,2,0,720,genesis,100720,25,20,culture,100000,25,Ancient trade route. Fortified granaries (agadirs). Silver mines.,Region supplies most of world argan oil,,0,seed
Ait Benhaddou Kasbah,ancient_ruins,31.047,-7.132,MA,uncommon,5.0,2,0,249,genesis,100249,25,45,culture,1500000,25,"Fortified clay city. UNESCO. Gladiator, Lawrence of Arabia filmed here.",,,0,seed
Ajanta Ellora Caves,ancient_ruins,20.552,75.7,IN,uncommon,5.0,2,0,315,genesis,100315,25,45,culture,1500000,25,30 Buddhist rock-cut temples. 2nd century BC. UNESCO. Masterpiece painting.,,,0,seed
Aksum Obelisks,ancient_ruins,14.129,38.723,ET,uncommon,5.0,2,0,256,genesis,100256,25,45,culture,1500000,25,"Ancient kingdom capital. Obelisks 1,700 years old. Ark of the Covenant alleged.","One obelisk was looted by Mussolini, returned in 2008",,0,seed
Al-Ula Valley,ancient_ruins,26.614,37.92,SA,uncommon,5.0,2,0,298,genesis,100298,25,45,culture,1500000,25,"AlUla — canyon, oasis, Nabataean tombs. Saudi Arabia's grand tourism project.",,,0,seed
Alexandria Catacombs,ancient_ruins,31.186,29.898,EG,uncommon,5.0,2,0,245,genesis,100245,25,45,culture,1500000,25,Greco-Roman necropolis. 3 underground levels. Roman-Egyptian hybrid art.,,,0,seed
Alexandria Library Site,ancient_ruins,31.2,29.906,EG,uncommon,5.0,2,0,688,genesis,100688,25,45,culture,1500000,25,"Ancient world center of knowledge. 700,000 scrolls. Burned in antiquity.",Julius Caesar accidentally burned part of it,,0,seed
Alhambra Granada,royal_palace,37.176,-3.588,ES,uncommon,5.0,2,0,396,genesis,100396,25,70,culture,200000,25,UNESCO Moorish palace. 3M visitors/yr. Nasrid dynasty 14th cent.,World record holder for most online museum tickets purchased in one day,,0,seed
Alibaba Hangzhou HQ,tech_giant,30.28,120.05,CN,uncommon,5.0,2,0,228,genesis,100228,25,170,intel,200000,25,"Jack Ma's empire. $400B+ revenue. AliPay, Taobao, Cloud.",,,0,seed
Almaty,financial_hub,43.238,76.945,KZ,uncommon,5.0,2,0,1064,genesis,101064,25,90,credits,5000000,75,Former Soviet capital. Silk Road city. Apple origin — grew wild here.,Wild apples grew in Tian Shan forests here — genetic ancestor of all apples,,0,city_seed
Almaty Medeo Ice Rink,sports_arena,43.151,77.056,KZ,uncommon,5.0,2,0,612,genesis,100612,25,45,culture,200000,25,"Highest ice rink in world. 1,691m. 40+ world records set here.",,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Medeo_ice_rink.jpg/640px-Medeo_ice_rink.jpg,0,seed
Altai Mountains Kazakhstan,mountain_peak,49.8,86.6,KZ,uncommon,5.0,2,0,378,genesis,100378,25,20,culture,100000,25,UNESCO. Altai mountains — cradle of Turkic civilization. Snow leopards.,,,0,seed
Amalfi Coast,nature_sanctuary,40.634,14.603,IT,uncommon,5.0,2,0,392,genesis,100392,25,40,culture,800000,25,UNESCO. Cliffside villages. Limoncello. Positano.,,,0,seed
Amazon Basin Iquitos,ancient_forest,-3.743,-73.251,PE,uncommon,5.0,2,0,417,genesis,100417,25,35,food,200000,25,Largest accessible Amazon city. Only by boat/plane. Pink dolphins.,,,0,seed
Amazon Manaus Opera House,museum,-3.13,-60.023,BR,uncommon,5.0,2,0,663,genesis,100663,25,30,culture,2500000,25,Belle Époque opera house in middle of Amazon. Built with rubber boom money.,Caruso performed here — rubber barons paid gold,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Teatro_Amazonas_Manaus.jpg/640px-Teatro_Amazonas_Manaus.jpg,0,seed
Amazon Seattle HQ2,tech_giant,47.615,-122.336,US,uncommon,5.0,2,0,227,genesis,100227,25,170,intel,200000,25,Spheres biome landmark. AWS runs 33% of internet.,,,0,seed
Amboseli National Park,nature_sanctuary,-2.652,37.26,KE,uncommon,5.0,2,0,261,genesis,100261,25,40,culture,800000,25,"Elephant herds with Kilimanjaro backdrop. 1,600 elephants.",,,0,seed
Amphitheatre of El Jem,ancient_ruins,35.296,10.706,TN,uncommon,5.0,2,0,253,genesis,100253,25,45,culture,1500000,25,"Third largest Roman amphitheater. 35,000 capacity. Gladiator Games filmed here.",,,0,seed
Ancient Babylon,ancient_ruins,32.542,44.421,IQ,uncommon,5.0,2,0,305,genesis,100305,25,45,culture,1500000,25,Hanging Gardens site. Nebuchadnezzar's capital. Ishtar Gate. UNESCO.,Saddam Hussein rebuilt Babylon on top of ruins,,0,seed
Angkor Thom Bayon,ancient_ruins,13.441,103.859,KH,uncommon,5.0,2,0,450,genesis,100450,25,45,culture,1500000,25,Jayavarman VII capital. South Gate. 54 towers with smiling faces.,,,0,seed
Ani Ruins,ancient_ruins,40.509,43.572,TR,uncommon,5.0,2,0,732,genesis,100732,25,45,culture,1500000,25,"Medieval Armenian capital. 100,000 population. 40 churches. Abandoned.",Once rival to Constantinople — now empty field on Armenia border,,0,seed
Annapurna Circuit Nepal,mountain_peak,28.5,84.1,NP,uncommon,5.0,2,0,622,genesis,100622,25,20,culture,100000,25,"World's best trekking circuit. 160-230km. Thorong La 5,416m pass.",,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Annapurna_Base_Camp.jpg/640px-Annapurna_Base_Camp.jpg,0,seed
Antelope Canyon,cave_system,36.862,-111.375,US,uncommon,5.0,2,0,928,genesis,100928,25,25,materials,200000,25,Slot canyon. Navajo Nation. Light beams. Most photographed canyon.,Floods killed 11 tourists 1997 — flash floods still occur without warning,,0,seed
Antelope Canyon Arizona,cave_system,36.862,-111.375,US,uncommon,5.0,2,0,656,genesis,100656,25,25,materials,200000,25,Slot canyon. Light beams. Navajo Nation. Most photographed in SW.,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Antelope_Canyon_Slot_Canyon.jpg/640px-Antelope_Canyon_Slot_Canyon.jpg,0,seed
Anuradhapura Sacred City,ancient_ruins,8.335,80.402,LK,uncommon,5.0,2,0,804,genesis,100804,25,45,culture,1500000,25,UNESCO. 2300 years old. Sacred Bo Tree cutting from Buddha's tree.,Bo Tree here is oldest documented tree — cutting from tree Buddha sat under,,0,seed
Aphrodisias,ancient_ruins,37.707,28.727,TR,uncommon,5.0,2,0,729,genesis,100729,25,45,culture,1500000,25,"Best preserved Roman city. Stadium for 30,000. Marble everywhere.",Famous for white marble — sent across entire Roman Empire,,0,seed
Apia,capital_city,-13.833,-171.767,WS,uncommon,5.0,2,0,1101,genesis,101101,25,75,credits,10000000,80,Samoa capital. Robert Louis Stevenson died here. Rugby nation.,Robert Louis Stevenson spent last years here — called it his home,,0,city_seed
Aqaba Coral Reef,coral_reef,29.53,35.0,JO,uncommon,5.0,2,0,743,genesis,100743,25,45,food,200000,25,Northernmost coral reef in world. Jordan only sea access.,Only 26km coastline — Jordan can only see Red Sea from one city,,0,seed
Arashiyama Bamboo Grove,ancient_forest,35.017,135.671,JP,uncommon,5.0,2,0,633,genesis,100633,25,35,food,200000,25,Towering bamboo forest. Tenryu-ji garden. Walking paths.,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Arashiyama_bamboo.jpg/640px-Arashiyama_bamboo.jpg,0,seed
Arenal Volcano Costa Rica,volcano,10.462,-84.703,CR,uncommon,5.0,2,0,913,genesis,100913,25,40,energy,300000,25,Active stratovolcano. Thermal springs. Jungle zip lines.,Was dormant 400 years — exploded 1968 destroying 3 villages killing 87,,0,seed
